Subject,Accuracy
sub-01,0.6287128712871287
sub-02,0.6017699115044248
sub-03,0.7247191011235955
sub-04,0.5265589992531741
sub-05,0.7200235109717869
sub-06,0.7029702970297029
sub-07,0.5809523809523809
sub-08,0.6212121212121212
sub-09,0.7783018867924529
sub-10,0.608080808080808
sub-11,0.668421052631579
sub-12,0.6122448979591837
sub-13,0.6337195413282369
sub-14,0.635
sub-15,0.6125
sub-16,0.6012658227848101
